artistName,sPlayed,count,genres
Gabby Barrett,215,1,['contemporary country']
Gabriele Motta,996,4,[]
Gareth Coker,85811,535,['video game music']
Garoad,1231,8,[]
Gary Bartz,169,1,"['indie jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']"
Gary Jules,189,1,['neo mellow']
Gary Moore,690,2,"['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock']"
Gavin Luke,1624,8,"['background music', 'calming instrumental', 'focus', 'neo-classical']"
Genesis,1328,7,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
Geoff Knorr,444,2,['video game music']
George Gershwin,145,1,"['american modern classical', 'classical', 'early modern classical', 'tin pan alley']"
George Harrison,706,3,"['album rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock']"
Georges Brassens,89,5,"['chanson', 'french pop', 'french rock']"
Georges Moustaki,704,5,['chanson']
Georgio,1,1,"['french hip hop', 'new french touch', 'pop urbaine', 'rap calme']"
Ghost,3576,16,"['hard rock', 'metal']"
Ghost Brigade,625,2,"['doom metal', 'finnish death metal', 'finnish doom metal', 'finnish melodeath', 'finnish metal', 'gothic metal', 'melodic death metal']"
Gilles Servat,1,2,['breton folk']
Glenn Stafford,1466,9,['video game music']
GlitchxCity,615,2,"['lo-fi vgm', 'otacore']"
Godsmack,304,1,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
Gojira,37847,145,"['alternative metal', 'french death metal', 'french metal', 'metal', 'nu metal', 'progressive groove metal']"
Gov't Mule,2541,9,[]
Gramatik,246,1,"['downtempo', 'jazz boom bap', 'jazztronica', 'livetronica', 'nu jazz', 'slovenian electronic', 'trip hop']"
Grand Corps Malade,198,1,"['chanson', 'francoton', 'french pop', 'french rock', 'nouvelle chanson francaise']"
Grant Newman,2685,16,[]
Grave Digger,244,1,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'neo-trad metal', 'power metal', 'speed metal']"
Graveyard,731,2,"['modern blues rock', 'psychedelic doom', 'retro metal', 'space rock', 'stoner metal', 'stoner rock', 'swedish stoner rock']"
Greydon Park Band,1678,8,['background jazz']
Guano Apes,187,1,"['alternative metal', 'funk metal', 'funk rock', 'german alternative rock', 'german rock', 'nu metal']"
Guizmo,451,2,"['french hip hop', 'pop urbaine', 'rap francais', 'rap inde']"
Guns N' Roses,646,4,"['glam metal', 'hard rock', 'rock']"
Gustav Holst,117,1,"['british modern classical', 'classical', 'early modern classical', 'post-romantic era']"
Gustavo Santaolalla,183,1,"['argentine ambient', 'latin classical', 'latin soundtrack', 'soundtrack', 'video game music']"
HEALTH,0,1,"['alternative dance', 'grave wave', 'metropopolis', 'noise pop', 'noise rock']"
HIM,211,1,"['dark rock', 'finnish alternative rock', 'gothic metal']"
HIXTAPE,8,1,['contemporary country']
HKK,157,1,[]
Haggard,1759,4,['symphonic metal']
Haken,1383,4,"['djent', 'neo classical metal', 'progressive metal', 'symphonic rock']"
Hampus Naeselius,7290,40,['epicore']
Hardline,234,1,"['album rock', 'glam metal', 'hard rock', 'melodic hard rock', 'modern hard rock', 'sleaze rock']"
Helloween,920,3,"['german metal', 'german power metal', 'hard rock', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'rock', 'speed metal']"
Henri Texier,317,1,"['contemporary jazz', 'french jazz']"
Henry Mancini,0,1,"['adult standards', 'classic soundtrack', 'easy listening', 'lounge', 'vocal jazz']"
Hi-Finesse,193,1,['epicore']
Hiroyuki Sawano,483,2,"['anime score', 'japanese soundtrack', 'otacore']"
Hocus Pocus,1659,8,"['french hip hop', 'hip-hop experimental', 'nantes indie']"
Hollyridge Strings,0,1,"['easy listening', 'lounge']"
Hoobastank,162,1,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']"
Howard Harper-Barnes,7443,48,[]
